player_id,player_id_fpl,player_name,web_name,Team,team_id,Position,Games,Minutes,Goals,Expected Goals,Assists,Expected Assists,Shots,Key Passes,Non-Penalty Goals,Expected Goals (Non-Penalty),Expected Goals (Chain),Expected Goals (Build-Up),Expected Points (Next GW),Expected Points (This GW),Event Points,Form,Cost,PPG,Selected By (%),Total Points,Value (Form),Value (Season),Clean Sheets,Yellow Cards,Red Cards,Saves,Bonus,BPS,Influence,Creativity,Threat,ICT Index
688,115,Ruben Loftus-Cheek,Loftus-Cheek,"Chelsea,Fulham",8,3,5,252,1,0.41606677137315273,0,0.058666642755270004,4,2,1,0.41606677137315273,0.5889557283371687,0.20915240980684757,0.0,0.5,0,1.5,59,2.6,0.2,13,0.3,2.2,1,1,0,0,0,53,54.4,37.4,76.0,16.7
725,149,Ola Aina,Delph,Fulham,7,3,6,154,0,0.05428250692784786,0,0.1640811674296856,2,4,1,0.05428250692784786,1.6974086053669453,1.622466303408146,1.0,0.5,0,0.5,49,1.3,0.0,4,0.1,0.8,0,0,0,0,0,29,20.8,17.5,1.0,3.9
750,275,Riyad Mahrez,Mahrez,Manchester City,12,3,6,501,1,0.91449732799083,1,0.9924506284296513,16,12,1,0.91449732799083,3.645008906722069,2.572556361556053,2.7,2.7,0,1.2,82,4.0,2.4,24,0.1,2.9,2,0,0,0,2,81,96.0,183.6,227.0,50.7
775,137,Andros Townsend,Townsend,Crystal Palace,6,3,10,837,1,0.6545005049556494,2,1.8741772025823593,11,15,1,0.6545005049556494,3.0768583863973618,1.419473048299551,2.7,2.2,3,2.2,59,3.7,2.3,37,0.4,6.3,2,0,0,0,4,140,201.2,250.4,101.0,55.3
833,250,Virgil van Dijk,van Dijk,Liverpool,11,2,5,370,1,0.5533826053142548,0,0.0,4,0,1,0.5533826053142548,1.409594252705574,1.2884346395730972,0.0,0.0,0,0.0,63,3.0,7.9,15,0.0,2.4,1,1,0,0,1,73,82.4,4.8,66.0,15.3
842,364,Oriol Romeu,Oriol Romeu,Southampton,16,3,9,770,1,0.2298676334321499,0,0.28753139451146126,8,7,1,0.2298676334321499,2.73742663115263,2.488377682864666,1.5,1.0,0,1.5,45,2.9,4.6,26,0.3,5.8,4,3,0,0,3,112,185.4,103.2,69.0,35.7
964,412,Kyle Bartley,Bartley,West Bromwich Albion,18,2,6,540,1,0.6318190023303032,0,0.0,2,0,1,0.6318190023303032,0.3237242940813303,0.3237242940813303,0.3,0.3,0,0.8,44,2.0,0.2,12,0.2,2.7,0,1,0,0,0,76,139.0,1.7,41.0,18.1
1234,225,Dennis Praet,Praet,Leicester,9,3,8,519,1,0.29332757741212845,2,0.8014300987124443,5,5,1,0.29332757741212845,1.5260763633996248,1.180647911503911,2.7,3.2,0,2.2,55,3.6,0.4,29,0.4,5.3,3,0,0,0,1,99,109.2,93.1,80.0,28.0
1687,298,Harry Maguire,Maguire,Manchester United,13,2,8,720,1,0.6091564912348986,1,0.08616532199084759,13,2,1,0.6091564912348986,2.8177772760391235,2.7444596737623215,2.7,2.7,0,2.2,54,3.4,3.3,27,0.4,5.0,2,2,0,0,1,148,148.2,32.0,153.0,33.4
1688,255,Andrew Robertson,Robertson,Liverpool,11,2,9,810,1,0.9600103031843901,3,2.101424438878894,7,14,1,0.9600103031843901,4.550486356019974,2.8515739366412163,5.0,5.0,0,4.0,71,4.8,19.7,43,0.6,6.1,2,0,0,0,7,206,203.4,234.2,131.0,57.0
1726,512,Abdoulaye Doucouré,Doucouré,Everton,7,3,9,738,1,1.0799218192696571,1,1.131835237145424,9,9,1,1.0799218192696571,5.156435698270798,3.8610313311219215,3.3,2.8,0,2.8,53,2.8,1.2,25,0.5,4.7,1,3,0,0,2,154,164.8,123.3,148.0,43.6
1746,485,Jeff Hendrick,Hendrick,Newcastle United,14,3,9,760,1,0.3619119096547365,1,0.7870321273803711,7,1,1,0.3619119096547365,2.1575567312538624,1.0695158205926418,1.8,1.8,3,1.8,48,3.4,2.6,31,0.4,6.5,2,0,0,0,3,95,109.8,22.4,46.0,17.5
2251,262,Gareth Bale,Brewster,Tottenham,15,4,3,256,0,0.8554961681365967,0,0.6707940697669983,6,3,1,0.8554961681365967,1.1169518530368805,0.6550783812999725,0.7,1.7,0,1.2,45,1.4,6.2,7,0.3,1.6,0,0,0,0,0,15,12.0,33.8,11.0,5.7
2381,492,Rodrigo,Rodrigo,Leeds,10,4,7,340,1,1.3538353368639946,1,0.5202844440937042,16,8,1,1.3538353368639946,2.5636316761374474,1.59388960711658,-0.3,0.2,0,0.2,57,2.7,2.1,19,0.0,3.3,1,0,0,0,3,65,63.0,102.8,183.0,34.9
3288,490,Thiago Silva,Thiago Silva,Chelsea,5,2,5,432,1,0.601676344871521,0,0.059103842824697495,2,1,1,0.601676344871521,1.5688917879015207,1.5688917879015207,4.0,3.5,0,3.5,55,5.6,3.2,28,0.6,5.1,3,0,0,0,1,124,159.6,18.0,52.0,23.0
3293,392,Lucas Moura,Lucas Moura,Tottenham,17,3,8,368,1,0.8460060954093933,0,0.15011977776885033,5,2,1,0.8460060954093933,1.8436444345861673,0.8742311205714941,0.5,0.5,0,0.5,68,2.2,1.3,18,0.1,2.6,1,0,0,0,1,37,52.2,42.6,121.0,21.5
3294,470,Edinson Cavani,Kilman,Manchester United,20,2,4,540,0,0.7387722581624985,1,0.0,5,0,1,0.7387722581624985,1.246113508939743,0.5631503462791443,1.2,1.7,0,2.2,43,5.3,15.5,32,0.5,7.4,3,1,0,0,6,121,102.0,37.6,45.0,18.4
3491,461,Romain Saiss,Saïss,Wolverhampton Wanderers,20,2,6,517,1,0.4559383224695921,0,0.3386978209018707,4,1,1,0.4559383224695921,1.0354093611240387,0.40667929500341415,0.0,0.0,0,0.0,51,6.3,11.9,38,0.0,7.5,4,0,0,0,7,135,123.4,24.8,60.0,21.0
3600,597,Serge Aurier,Sánchez,Tottenham,3,1,3,90,0,0.4603444039821625,0,0.7415898442268372,3,2,1,0.4603444039821625,1.4063169360160828,0.46185387670993805,0.2,-0.8,0,0.2,44,1.0,0.0,1,0.0,0.2,0,0,0,2,0,12,19.0,0.0,0.0,1.9
5220,500,Kai Havertz,Havertz,Chelsea,5,3,7,550,1,0.7148860339075327,2,0.5479235798120499,6,8,1,0.7148860339075327,2.9648445770144463,1.9490444734692574,1.3,0.8,0,0.8,83,3.7,3.6,26,0.1,3.1,3,1,0,0,0,92,109.0,126.4,84.0,32.0
5556,548,Ademola Lookman,Mendy,Fulham,5,1,6,450,0,1.4736746698617935,0,0.7483541034162045,15,12,1,0.7125058025121689,3.827131509780884,2.5221732705831528,4.0,3.5,0,3.5,51,5.4,7.0,27,0.7,5.3,4,0,0,7,0,110,57.6,0.0,0.0,5.8
5584,313,Aaron Wan-Bissaka,Wan-Bissaka,Manchester United,13,2,7,630,1,0.13602694869041443,0,0.15819459781050682,2,3,1,0.13602694869041443,0.9286571256816387,0.634435560554266,2.6,2.6,0,3.0,54,3.7,8.7,26,0.6,4.8,2,0,0,0,2,126,145.2,52.0,50.0,24.6
5609,76,Yves Bissouma,Bissouma,Brighton,3,3,8,718,1,0.4054624494165182,0,0.018893089145421982,14,1,1,0.4054624494165182,2.086758503690362,1.8664468713104725,1.2,0.2,0,1.2,45,2.4,3.4,19,0.3,4.2,2,3,1,0,2,86,105.4,42.7,71.0,21.7
5613,494,Gabriel,Gabriel,Arsenal,1,2,8,720,1,0.826672401279211,0,0.0,6,0,1,0.826672401279211,1.5845253206789494,1.5845253206789494,3.5,4.0,0,3.5,51,4.6,11.3,37,0.7,7.3,3,1,0,0,5,165,200.6,7.2,91.0,29.9
